locationId,location,parameter,value,date/utc,date/local,unit,coordinates/latitude,coordinates/longitude,country,city,isMobile,isAnalysis,entity,sensorType
339557,Kennedy_Inem_Kennedy,um010,2.63,2023-02-02T04:45:13+00:00,2023-02-01T23:45:13-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm1,23,2023-02-02T04:43:13+00:00,2023-02-01T23:43:13-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um025,0,2023-02-02T04:43:13+00:00,2023-02-01T23:43:13-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um010,2.51,2023-02-02T04:43:13+00:00,2023-02-01T23:43:13-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm25,35.2,2023-02-02T04:43:13+00:00,2023-02-01T23:43:13-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm10,41.6,2023-02-02T04:43:13+00:00,2023-02-01T23:43:13-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um100,0,2023-02-02T04:43:13+00:00,2023-02-01T23:43:13-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um025,0,2023-02-02T04:39:13+00:00,2023-02-01T23:39:13-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm25,34.4,2023-02-02T04:39:13+00:00,2023-02-01T23:39:13-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm10,40.1,2023-02-02T04:39:13+00:00,2023-02-01T23:39:13-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um010,2.55,2023-02-02T04:39:13+00:00,2023-02-01T23:39:13-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm1,22,2023-02-02T04:39:13+00:00,2023-02-01T23:39:13-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um100,0,2023-02-02T04:39:13+00:00,2023-02-01T23:39:13-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
