locationId,location,parameter,value,date/utc,date/local,unit,coordinates/latitude,coordinates/longitude,country,city,isMobile,isAnalysis,entity,sensorType,dayOfWeek
339545,Tunjuelito_Cemex,pm25,6,2023-02-06T12:01:33+00:00,2023-02-06T07:01:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,16.3,2023-02-06T11:59:33+00:00,2023-02-06T06:59:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,16.6,2023-02-06T11:57:33+00:00,2023-02-06T06:57:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,19.9,2023-02-06T11:55:33+00:00,2023-02-06T06:55:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,22.6,2023-02-06T11:53:33+00:00,2023-02-06T06:53:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,21.8,2023-02-06T11:51:33+00:00,2023-02-06T06:51:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,24.3,2023-02-06T11:49:33+00:00,2023-02-06T06:49:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,23.6,2023-02-06T11:47:33+00:00,2023-02-06T06:47:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,16.6,2023-02-06T11:45:33+00:00,2023-02-06T06:45:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,20.4,2023-02-06T11:43:33+00:00,2023-02-06T06:43:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,12.8,2023-02-06T11:41:33+00:00,2023-02-06T06:41:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
