locationId,location,parameter,value,dateUtc,dateLocal,unit,latitude,longitude,country,city,isMobile,isAnalysis,entity,sensorType
222263,"SALITRE","pm1",10.9,"2023-03-15T23:37:11+00:00","2023-03-15T18:37:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",14,"2023-03-15T23:37:11+00:00","2023-03-15T18:37:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",14.7,"2023-03-15T23:37:11+00:00","2023-03-15T18:37:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.03,"2023-03-15T23:37:11+00:00","2023-03-15T18:37:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T23:37:11+00:00","2023-03-15T18:37:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.61,"2023-03-15T23:37:11+00:00","2023-03-15T18:37:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",12.7,"2023-03-15T23:35:11+00:00","2023-03-15T18:35:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.03,"2023-03-15T23:35:11+00:00","2023-03-15T18:35:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",10,"2023-03-15T23:35:11+00:00","2023-03-15T18:35:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T23:35:11+00:00","2023-03-15T18:35:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.61,"2023-03-15T23:35:11+00:00","2023-03-15T18:35:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
